"","bodyid","glomerulus","soma_side","modality","cable.length.um","presyn.glom","presyn"
"893",1824472937,"DM2","contralateral","olfactory",98.8096067082195,53,53
"894",1824723104,"VL2a","contralateral","olfactory",75.121047336423,39,39
"895",1824801327,"DM2",NA,"olfactory",126.502711139723,61,62
"896",1824813936,"DM2",NA,"olfactory",163.970239974072,72,73
"897",1824865496,"DM2","contralateral","olfactory",111.909594646055,41,41
"898",1825146295,"DM2","ipsilateral","olfactory",116.742478711766,54,59
"899",1825828174,"DM2",NA,"olfactory",38.2009589412115,25,25
"900",1826492720,"DM6","ipsilateral","olfactory",131.226739906585,79,79
"901",1826566083,"DM6","contralateral","olfactory",42.2306881223775,32,33
"902",1826773575,"DA1",NA,"olfactory",97.7453181972061,47,47
"903",1826773768,"DA1","ipsilateral","olfactory",172.996560832557,82,82
"904",1826773830,"DA1","contralateral","olfactory",51.8290242862001,28,29
"905",1827110060,"DA1","contralateral","olfactory",86.5302045788555,53,53
"906",1827114589,"DA1","contralateral","olfactory",80.9502581763555,52,53
"907",1827122986,"DA1",NA,"olfactory",91.6335121837032,64,64
"908",1827446803,"DA1","contralateral","olfactory",73.6010462425841,40,40
"909",1827516518,"DC2","contralateral","olfactory",148.669901787586,81,81
"910",1827516566,"DC2","ipsilateral","olfactory",177.055393669257,108,108
"911",1827633289,"DA1","contralateral","olfactory",99.8124875892379,54,54
"912",1827861908,"DC2","ipsilateral","olfactory",170.320086487918,126,132
"913",1828500243,"DL3","ipsilateral","olfactory",153.757371915674,71,72
"914",1852084817,"VP4","contralateral","thermo-hygro",31.2596782742905,28,35
"915",1852093674,"VC3l","contralateral","olfactory",91.4811768142662,53,53
"916",1852097022,"VC3l","contralateral","olfactory",89.7944916936176,43,44
"917",1852097284,"VC3l","ipsilateral","olfactory",35.6614266985058,24,24
"918",1854407104,"DP1l","ipsilateral","olfactory",231.49152374862,205,208
"919",1854536305,"DM2","ipsilateral","olfactory",131.077747815495,59,59
"920",1854876962,"DM2","contralateral","olfactory",117.120791566192,56,56
"921",1855412441,"VL2a","ipsilateral","olfactory",107.375522685181,95,95
"922",1856103073,"VL2a","contralateral","olfactory",56.456749054946,46,47
"923",1856513745,"DM2",NA,"olfactory",76.1067656499431,32,33
"924",1858162227,"DA1","ipsilateral","olfactory",105.571948708834,63,64
"925",1858486077,"DA1","ipsilateral","olfactory",94.7838497561545,58,58
"926",1858822939,"DA1","ipsilateral","olfactory",92.9897228402579,53,55
"927",1858896269,"DC2","ipsilateral","olfactory",177.297666033916,108,108
"928",1859190013,"DA1","ipsilateral","olfactory",161.377910840093,65,70
"929",1883447409,"VP4","contralateral","thermo-hygro",29.12646986524,32,35
"930",1883447515,"VP4","ipsilateral","thermo-hygro",145.619899876252,154,163
"931",1883468979,"VC3l","contralateral","olfactory",81.4654417741447,49,49
"932",1883469292,"VC3l",NA,"olfactory",63.3456136927904,29,29
"933",1883469542,"VC3l",NA,"olfactory",57.3250212671531,22,22
"934",1883469558,"VC3l","contralateral","olfactory",64.3618097745523,41,42
"935",1883469572,"VC1","contralateral","olfactory",102.560278839751,63,64
"936",1883473629,"VC1","contralateral","olfactory",123.141837840788,84,87
"937",1883783683,"VP4","contralateral","thermo-hygro",90.6285357565226,67,68
"938",1883783710,"VP4","ipsilateral","thermo-hygro",153.057148146909,105,122
"939",1883783723,"VP4","contralateral","thermo-hygro",99.1841915655954,72,72
"940",1883783769,"VP4","contralateral","thermo-hygro",89.6937270256384,55,60
"941",1883783789,"VP4","ipsilateral","thermo-hygro",193.995095364039,114,168
"942",1883783906,"VP4","ipsilateral","thermo-hygro",202.59634341033,121,134
"943",1883783945,"VP4","ipsilateral","thermo-hygro",133.377816121191,140,145
"944",1884125111,"VP4","contralateral","thermo-hygro",101.737746133038,61,68
"945",1884138473,"VP1d","unilateral","thermo-hygro",278.339415151687,197,266
"946",1885101169,"DP1l","contralateral","olfactory",100.247534760808,71,72
