"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","side","connectivity.type","cell.type","class","cellBodyFiber","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","putative.classic.transmitter","putative.other.transmitter","FAFB.match","FAFB.match.quality","layer","ct.layer","axon.outputs","dend.outputs","axon.inputs","dend.inputs","total.length","axon.length","dend.length","pd.length","segregation_index","notes"
1037535479,160,328,328,886,"Traced","LHPV3b1_a_R",331085240,TRUE,"right","LHPV3b1_a","LHPV3b1_a","LHON","PVL10","VPNp1","VPNp1_medial","BLD5","BLD5_medial","acetylcholine","unknown","none","none",4.03285420944558,4,657,183,47,273,1248.81969065276,184.948497259614,588.059852068249,101.782917370918,0.297846351714743,NA
912732057,196,516,516,1278,"Traced","LHPV3b1_b_R",376533719,TRUE,"right","LHPV3b1_b","LHPV3b1_b","LHON","PVL10","VPNp1","VPNp1_medial","BLD5","BLD5_medial","acetylcholine","unknown","none","none",3.3238578680203,3,374,862,41,464,1719.61002818529,139.94642954399,945.961317958726,132.999481672741,0.0535886888015769,NA
1068912795,163,327,327,881,"Traced","LHPV3b1_b_R",351052346,TRUE,"right","LHPV3b1_b","LHPV3b1_b","LHON","PVL10","VPNp1","VPNp1_medial","BLD5","BLD5_medial","acetylcholine","unknown","720575940611704167","good",3.85185185185185,3,538,333,34,289,1179.84966730225,154.991179802868,652.579381130142,82.4688823949434,0.198706231103854,NA
1068543885,192,426,426,1219,"Traced","LHPV3b1_b_R",342751396,TRUE,"right","LHPV3b1_b","LHPV3b1_b","LHON","PVL10","VPNp1","VPNp1_medial","BLD5","BLD5_medial","acetylcholine","unknown","none","none",3.1567239635996,3,413,779,30,390,1449.19863843136,125.001191905892,757.008303252145,101.424623180867,0.0763928005562635,NA
479935033,1219,3490,3490,11571,"Traced","LHPV3c1_R",2801189861,TRUE,"right","LHPV3c1","LHPV3c1","LHON","PVL10","VPNp1","VPNp1_medial","BLD5","BLD5_medial","acetylcholine","unknown","none","none",4.41350210970464,4,11498,35,1151,2312,6815.5998128444,2062.126865395,3372.67929978297,108.874074669845,0.501739991505835,NA
760566169,129,480,480,1362,"Traced","LHPV4a1_R",207062910,TRUE,"right","LHPV4a1","LHPV4a1","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940595280389","good",3.16735112936345,3,492,793,107,363,1345.8266674371,188.76706879695,669.259712808887,130.085904037426,0.0189273668829186,NA
790918098,202,506,506,2180,"Traced","LHPV4a1_R",227120053,FALSE,"right","LHPV4a1","LHPV4a1","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940595271941","good",3.19979402677652,3,904,1189,127,369,1536.47466039122,287.282457846065,710.200124955712,92.9620811270489,0.0214165792428039,NA
760225398,102,346,346,1177,"Traced","LHPV4a1_R",160077159,FALSE,"right","LHPV4a1","LHPV4a1","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940615370018","good",3.22863027806385,3,597,542,130,202,1099.2495032767,205.972918674747,426.367768089074,128.627177849663,0.0115840021617443,NA
790918133,171,614,614,1917,"Traced","LHPV4a1_R",199795885,FALSE,"right","LHPV4a1","LHPV4a1","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","none","none",3.15995872033024,3,554,1290,136,466,1629.69259616487,248.404030694687,905.653034458183,118.764079956104,0.00470257906627392,NA
480258202,150,219,219,1432,"Traced","LHPV4a10_a_R",363067874,TRUE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618222319","medium",3.15478615071283,3,899,478,93,120,1368.23789759029,471.130678818711,457.400129245204,37.7679649876358,0.0284037429784947,NA
