bodyId,layer_mean,layer_olf_mean,layer_th_mean
295793991,4.126,4.749,4.349
295797312,4.196,4.225,5.196
295798962,3.683,3.69,5.349
295799057,4.236,4.215,5.329
295802733,5.103,5.299,5.565
295805243,3.395,3.404,5.423
295807109,4.431,4.408,5.332
295807429,4.001,4.056,5.286
295814411,3.926,4.161,4.585
295814565,4.891,4.978,6.1
295814630,5.095,5.066,6.085
295814895,4.447,4.507,5.386
295814932,4.567,4.602,5.651
295815100,4.627,4.706,5.39
295815897,5.373,5.369,6.214
295815955,4.516,4.573,5.437
295816140,5.201,5.35,5.785
295819960,5.602,5.746,6.318
295819998,4.331,4.393,5.036
295820056,4.519,4.629,5.188
295820069,5.129,5.242,5.827
295820085,5.902,5.972,6.524
295823782,6.151,6.261,6.731
295827899,6.281,6.437,6.926
295828029,5.01,5.405,5.299
295849217,5.062,5.324,5.494
295849410,4.752,5.321,4.836
296120593,3.513,3.532,4.958
296139882,4.991,5.067,5.967
296143798,5.307,5.353,5.996
296143923,4.761,4.812,5.552
296148102,4.466,4.786,4.8
296153150,4.731,4.827,5.402
296153261,3.397,3.422,5.351
296155122,5.037,5.097,6.112
296156918,5.663,5.758,6.335
296160764,5.858,5.955,6.524
296164879,4.56,4.586,5.493
296168382,4.984,5.103,5.698
296194535,5.565,5.629,6.383
296199021,5.142,5.311,5.784
296199026,5.29,5.613,5.613
296199149,4.588,4.646,5.815
296203324,5.571,5.73,6.203
296203325,5.539,5.615,6.301
296203392,5.504,5.565,6.196
296203434,5.612,5.751,6.288
296203440,5.89,6.092,6.291
296203608,4.604,4.619,6.134
296203623,4.839,4.818,6.034
296479813,4.41,4.445,5.175
296489073,4.398,4.513,5.338
296496999,4.618,4.708,5.438
296497316,5.614,5.663,6.372
296501634,4.82,4.811,5.888
296502002,4.541,4.639,5.55
296502294,4.988,5.065,5.49
296505463,4.514,4.573,5.142
296509709,4.746,5.166,4.951
296514350,5.614,5.802,6.228
296531366,5.287,5.429,6.111
296531421,6.578,6.814,7.076
296535619,4.984,5.051,5.942
296535655,5.632,5.723,6.094
296535868,5.573,5.668,6.197
296543992,4.484,4.548,5.719
296544262,5.06,5.153,5.939
296544364,5.324,5.566,5.806
296690817,6.134,6.22,6.826
296829531,4.699,4.735,5.835
296837846,5.072,5.143,5.976
296838079,5.565,5.768,6.194
296838229,4.867,4.897,5.877
296838734,4.59,4.601,5.669
296841676,4.364,4.401,5.29
296842335,5.159,5.185,6.271
296843037,4.791,5.128,5.043
296846109,5.054,5.109,6.313
296846314,5.098,5.082,6.174
296846768,4.533,4.627,5.202
296850634,5.563,5.728,6.021
296851132,5.548,5.707,6.119
296851235,4.528,4.696,5.127
296851261,5.864,6.022,6.494
296855409,5.82,5.941,6.4
296855477,5.225,5.343,5.865
296859399,5.599,5.767,6.117
296859438,5.508,5.808,5.824
296863817,5.003,5.022,6.103
296867934,5.843,5.925,6.483
296868077,5.481,5.704,5.936
296872298,5.816,5.932,6.475
296872415,6.084,6.203,6.712
296880800,6.045,6.125,6.665
296885362,5.419,5.637,5.914
297040863,6.79,6.963,7.286
297165904,4.627,4.678,5.867
297166053,5.535,5.551,6.377
297166197,4.475,4.523,5.735
297178509,5.472,5.488,6.412
297179343,4.287,4.336,5.513
297183244,3.888,4.326,4.327
297183251,6.035,6.169,6.813
297192193,4.67,4.701,5.596
297192204,5.094,5.231,6.044
297196636,5.013,5.31,5.467
297217528,5.638,5.686,6.227
297221971,4.882,5.079,5.42
297230760,4.813,4.849,5.902
297239396,5.417,5.907,5.605
297243542,5.17,5.528,5.597
297247801,5.556,5.888,5.833
297251714,4.963,4.992,5.964
297251765,5.852,6.142,6.158
297498027,4.576,4.622,5.635
297502392,4.642,4.752,5.47
297519736,4.657,4.716,5.843
297519807,5.26,5.294,6.239
297519815,5.111,5.25,6.038
297519843,5.171,5.178,6.13
297519947,5.138,5.175,6.309
297520036,4.648,4.608,6.021
297524212,4.7,4.674,5.915
297528119,5.203,5.252,6.527
297528741,5.083,5.039,6.102
297533212,4.955,4.999,5.964
297541369,4.129,5.17,4.295
297558862,5.072,5.136,5.89
297563139,5.417,5.994,5.614
297563270,4.892,4.971,6.062
297572076,6.935,7.099,7.384
297572235,5.037,5.073,6.216
297580512,5.877,6.148,6.342
297580589,5.055,5.117,5.87
297584752,5.171,5.868,5.226
297584869,5.069,5.128,6.007
297588775,5.522,5.919,5.805
297588821,6.365,6.583,6.687
297588838,5.351,5.704,5.585
297588882,5.477,5.829,5.731
297588995,5.174,5.687,5.429
297593055,5.593,5.917,5.931
297713859,5.827,6.166,6.146
297851977,4.291,4.309,5.728
297856167,4.431,4.454,5.747
297860327,5.468,5.517,6.561
297860627,5.121,5.122,5.995
297869179,5.08,5.123,6.483
297899921,5.191,5.256,6.249
297908595,6.045,6.246,6.603
297908801,4.981,5.006,6.114
297912117,5.475,5.622,6.222
297917158,5.361,5.423,6.182
297917363,5.527,5.777,6.064
297917364,5.636,5.702,6.241
297917407,5.679,5.723,6.481
297917459,5.74,5.965,6.308
297917474,5.058,5.292,5.524
297917475,5.206,5.263,6.125
297921527,4.002,4.016,5.566
297921570,5.363,5.827,5.567
297921608,5.067,5.101,6.134
297921642,5.538,5.848,5.859
297921808,5.305,5.363,6.333
297925478,4.448,5.115,4.552
297925596,5.22,5.748,5.36
297925608,5.506,5.748,6.062
297925719,6.097,6.37,6.414
297925742,5.723,5.954,6.26
297925765,5.733,5.801,6.571
297925887,5.728,5.95,6.066
297929768,5.649,5.951,6.033
297929815,5.747,5.91,6.207
297930040,5.613,5.809,5.989
297930119,5.829,6.12,6.245
297934012,5.531,5.566,6.541
297934028,5.931,6.412,6.155
297934346,5.195,5.308,6.042
297934349,5.456,5.769,5.784
297938303,6.288,6.512,6.67
297938585,5.469,5.785,5.785
297947227,5.571,5.989,5.8
298055752,6.272,6.378,6.92
298055794,5.95,6.38,6.165
298210543,5.379,5.428,6.273
298214577,5.011,5.059,6.187
298240936,4.981,4.992,6.043
298241038,5.593,5.765,6.188
298245448,5.174,5.331,6.062
298245502,5.272,5.306,6.349
298249624,4.932,4.972,6.081
298250090,5.431,5.52,6.26
298254380,5.41,5.449,6.343
298254384,4.713,4.761,5.867
298254474,5.201,5.373,5.817
298254517,5.936,6.199,6.179
298258134,5.348,5.479,5.998
298258354,5.576,5.714,6.169
298258399,5.484,5.578,6.292
298258513,5.229,5.362,5.96
298258611,4.913,4.993,5.954
298258714,5.227,5.354,6.191
298262408,5.685,6.04,5.952
298262599,5.73,6.005,6.1
298262644,5.145,5.775,5.313
298262663,5.582,5.615,6.322
298262837,5.312,5.346,6.173
298262867,4.808,4.856,5.837
298266716,5.091,5.611,5.215
298266797,5.661,5.829,6.128
298266805,5.835,5.987,6.253
298266903,5.602,5.813,5.973
298266950,5.522,5.779,5.818
298267207,5.442,5.902,5.679
298270808,4.733,5.012,5.066
298275024,6.004,6.147,6.643
298275090,5.552,5.879,5.825
298275356,5.66,6.084,5.814
298279629,5.41,5.775,5.787
298288301,5.746,6.128,6.033
298405402,6.387,6.526,7.034
298542439,5.188,5.258,6.146
298547259,4.696,4.759,5.997
298547436,4.588,4.576,5.732
298586553,5.443,5.551,6.281
298586733,5.246,5.293,6.166
298590924,4.95,5.013,5.901
298591075,5.162,5.194,6.11
298591130,5.133,5.267,5.788
298595196,5.777,5.847,6.537
298595394,4.268,4.328,5.781
298599271,5.248,5.248,6.327
298599672,5.564,5.795,6.085
298603633,5.577,5.982,5.865
298603693,5.44,5.689,5.926
298603730,5.652,5.745,6.388
298603963,5.108,5.098,6.153
298607679,5.03,5.083,5.958
298612190,4.545,4.527,5.802
298616588,5.327,5.482,6.062
298616761,5.239,5.299,6.233
298625276,5.318,5.774,5.475
298927224,5.685,5.776,6.471
298927362,5.348,5.485,5.93
298931489,5.1,5.151,6.153
298931773,4.872,4.95,5.741
298935111,4.719,4.715,5.898
298935146,4.86,4.852,5.913
298936099,5.019,5.021,6.091
298944444,6.151,6.307,6.888
298944479,5.649,5.742,6.216
298944620,5.478,5.817,5.847
298948785,4.553,5.131,4.825
298957166,5.483,5.572,6.104
298957344,4.644,4.642,5.934
298961895,6.22,6.412,6.543
298962041,5.632,5.896,6.045
299043307,4.766,4.683,5.936
299043389,5.904,5.891,6.609
299078990,6.638,6.773,7.115
299082033,5.438,5.421,6.414
299083134,6.019,6.357,6.315
299263690,4.351,4.381,5.624
299267723,4.708,4.768,5.882
299268507,4.512,4.575,5.513
299272434,4.119,4.496,4.562
299272806,4.966,5.023,5.939
299289811,5.555,5.728,6.19
299290105,5.426,5.917,5.651
299293552,5.412,5.519,6.135
299298381,5.295,5.567,5.875
299298593,6.448,6.658,6.734
299604675,4.66,4.677,5.967
299604736,4.782,4.77,6.006
299604862,4.929,5.078,5.652
299609112,4.707,4.857,5.425
299613271,5.024,5.057,6.098
299613480,4.743,4.713,6.055
299617484,4.713,4.826,5.98
299617529,5.432,5.629,5.778
299617731,5.144,5.206,6.135
299617849,5.179,5.129,6.151
299617872,4.709,4.737,5.863
299621755,5.83,5.891,6.56
299626157,5.548,5.651,6.361
299954299,5.019,5.077,6.099
299954300,5.142,5.206,6.238
299958695,5.344,5.374,6.151
299958696,5.108,5.109,6.176
300455904,6.395,6.462,6.941
300968622,3.326,3.299,5.24
300972942,4.116,4.106,5.638
301037686,6.481,6.761,6.848
301309622,3.238,3.256,5.298
301314150,3.275,3.304,4.522
301314154,3.252,3.266,5.295
301314208,3.174,3.177,5.511
301318641,3.162,3.181,5.436
324370873,5.166,5.281,5.971
324721026,4.989,4.985,5.998
324725187,5.055,5.302,5.723
324790113,4.364,4.368,5.346
324846570,4.554,5.142,4.779
325113795,4.561,4.71,5.067
325122109,3.813,4.421,4.036
325122525,3.741,4.84,3.871
325122802,4.527,4.694,5.214
325127286,4.623,4.619,5.56
325131735,4.659,4.708,5.496
325446181,4.329,4.437,5.249
325455002,3.747,4.404,3.969
325455305,3.777,3.841,4.777
325455473,3.36,3.325,5.014
325458991,3.223,3.243,5.156
325460206,3.372,3.395,5.231
325472654,3.937,4.004,5.226
325484974,4.552,4.574,5.543
325489440,5.714,5.814,6.362
325490014,4.539,4.603,5.249
325529237,4.655,5.172,4.826
325743813,4.449,4.596,5.282
325787243,3.256,3.319,4.713
325791831,4.744,4.887,5.31
325791855,4.422,4.49,5.343
325797488,3.635,3.7,5.047
325797575,3.242,3.287,4.741
325802256,3.668,3.634,5.205
325814461,3.319,4.183,3.411
325814669,4.013,4.112,5.445
325814784,4.792,4.856,5.53
325815440,4.018,4.354,4.395
325826011,4.435,4.485,5.524
325834652,4.666,4.847,5.438
325839288,6.115,6.277,6.486
325839302,6.07,6.276,6.528
326119769,4.545,4.617,5.185
326124243,3.995,4.0,5.085
326128466,4.095,4.126,5.368
326128670,4.323,4.473,4.84
326134056,4.335,4.501,4.951
326134570,4.686,4.758,5.569
326137566,3.725,3.911,4.657
326154371,3.926,3.925,5.372
326155085,4.358,4.363,5.553
326159593,4.504,4.786,4.913
326159897,4.288,4.457,4.775
326159907,4.188,4.223,5.435
326164634,3.771,3.735,5.151
326164742,4.478,4.666,5.003
326184549,6.067,6.171,6.511
326227760,4.673,4.683,5.706
326253554,5.839,6.038,6.246
326460989,4.46,4.502,5.521
326465302,3.908,4.606,4.129
326474963,5.214,5.237,6.051
326475920,3.439,3.416,5.288
326496740,4.484,4.913,4.823
326500709,4.271,4.322,5.42
326504486,4.709,4.793,5.538
326508001,4.585,4.847,5.007
326508583,4.836,5.08,5.207
326509224,4.569,4.723,5.146
326521082,6.399,6.535,6.88
326525255,5.906,6.047,6.543
326525339,6.312,6.485,6.824
326530038,5.421,5.792,5.854
326542980,5.42,5.63,5.997
326547252,4.896,5.304,5.103
326560782,5.685,6.008,6.069
326810603,4.684,4.767,5.455
326811922,4.627,4.596,5.634
326812225,3.539,3.567,5.139
326817334,3.954,3.963,5.528
326817510,4.82,4.95,5.469
326817565,3.545,3.586,5.106
326849964,5.191,5.279,6.011
326870795,4.626,4.63,5.67
326875404,6.018,6.096,6.665
326879917,5.39,5.625,5.852
326884203,5.664,5.748,6.367
326884223,5.274,5.576,5.68
326884250,4.809,4.928,5.545
326884264,5.911,6.067,6.608
326884331,5.494,5.734,6.057
326888433,5.181,5.426,5.786
326888609,4.387,4.36,5.775
326888627,5.011,5.145,5.713
326888675,5.506,5.789,6.002
326892322,5.331,5.434,6.053
326892728,4.634,4.693,5.982
326901620,5.83,6.076,6.27
326905980,5.41,5.763,5.707
327147292,4.571,4.625,5.355
327147610,4.442,4.441,5.394
327152465,4.676,4.683,5.5
327153088,4.49,4.659,5.123
327158282,4.637,4.656,5.837
327158831,4.595,4.667,5.445
327203386,5.822,5.904,6.507
327220514,4.703,4.899,5.254
327225145,6.085,6.162,6.721
327229641,5.32,5.393,6.04
327242169,5.213,5.27,6.165
327242287,5.002,5.641,5.148
327246381,5.764,6.019,6.217
327246931,5.098,5.271,5.644
327255181,5.573,6.085,5.68
327398074,6.201,6.21,6.81
327499164,4.139,4.152,5.449
327506825,3.713,3.778,5.056
327509674,4.525,4.598,5.842
327511994,4.706,4.716,5.94
327519295,5.301,5.335,6.198
327531576,4.854,4.902,5.832
327532246,4.633,4.629,5.559
327535642,4.899,4.986,5.815
327544990,5.489,5.639,5.954
327565511,6.036,6.14,6.729
327565800,6.036,6.177,6.716
327566042,5.22,5.313,5.973
327566137,6.186,6.247,6.858
327587580,5.478,5.783,5.777
327587644,5.494,5.942,5.734
327588074,5.628,5.933,5.965
327588225,5.439,5.844,5.751
327588446,5.641,6.179,5.788
327592562,5.368,5.99,5.514
327596420,5.387,5.704,5.772
327596481,5.053,5.086,6.011
327600366,6.063,6.31,6.453
327635327,6.605,7.001,6.745
327720946,5.379,5.66,5.694
327730878,6.469,6.6,7.125
327838570,4.158,4.195,5.648
327843160,4.281,4.725,4.701
327844600,4.723,4.85,5.318
327848116,4.708,4.876,5.223
327850917,4.738,5.093,5.155
327851331,4.149,4.188,5.203
327852122,4.66,4.746,5.524
327852276,4.463,4.47,5.993
327857238,4.55,4.676,5.381
327860997,4.853,4.991,5.632
327861138,4.778,4.772,5.957
327865394,3.737,3.753,5.297
327872592,4.89,4.909,6.061
327872615,5.127,5.171,6.076
327873821,4.972,5.164,5.477
327877252,4.686,4.71,5.823
327881747,4.849,4.886,5.831
327928411,5.402,5.698,5.839
327932807,5.6,6.011,5.866
327933008,4.114,4.292,4.894
327933027,3.951,5.435,3.927
327933061,5.354,5.613,5.788
327933208,5.349,5.819,5.664
327933679,5.425,5.751,5.753
327933814,5.1,5.784,5.206
327937328,4.706,4.76,5.984
327937494,5.207,5.417,5.7
327937506,5.632,5.971,5.925
327937628,5.105,5.6,5.355
327937837,5.857,6.115,6.22
327941844,5.266,5.326,6.21
327945928,5.302,5.995,5.378
328010530,6.215,6.329,6.624
328179112,4.714,4.747,5.729
328179117,4.316,4.363,5.157
328187494,4.747,4.809,5.795
328188238,4.985,5.169,5.537
328188777,4.752,4.894,5.436
328193076,4.802,4.768,5.965
328197044,4.685,4.724,5.617
328201793,4.763,4.807,5.866
328206519,4.49,4.457,5.804
328209735,5.09,5.113,6.014
328213227,5.38,5.416,6.352
328213594,4.925,4.953,5.952
328213824,4.379,5.029,4.532
328214655,4.739,4.891,5.388
328244591,5.803,5.896,6.518
328253133,4.235,4.222,5.766
328265182,5.448,5.52,6.161
328265281,5.222,5.259,6.071
328265389,5.659,5.852,6.222
328269766,5.01,5.167,5.872
328270395,5.144,5.24,6.073
328273806,4.651,5.102,4.954
328274638,5.251,5.422,5.843
328274706,5.498,5.813,5.732
328278125,5.635,6.171,5.784
328278368,5.432,5.627,5.883
328278449,5.371,5.523,5.836
328283406,4.966,5.482,5.123
328283521,4.95,5.588,5.062
328283528,5.465,5.959,5.598
328291093,5.399,5.633,5.695
328373067,6.71,7.005,6.885
328373131,6.276,6.542,6.56
328417092,6.038,6.296,6.352
328519723,4.63,4.675,5.824
328519904,4.191,4.194,5.78
328524517,4.428,4.453,5.427
328524867,4.447,4.52,5.196
328524904,4.619,4.644,5.496
328525017,4.564,4.575,5.931
328530120,4.834,4.789,5.774
328533761,4.576,4.606,5.507
328533799,4.791,4.803,5.966
328533857,4.626,4.648,5.737
328533896,4.508,4.531,5.781
328537891,4.757,4.803,6.1
328538398,4.591,4.609,5.695
328538408,4.508,4.501,5.761
328542009,4.211,4.22,5.714
328542218,4.736,4.818,5.649
328543014,4.075,4.076,5.588
328543082,4.923,4.952,5.946
328546621,4.674,4.686,5.876
328546871,4.241,4.225,5.73
328559607,4.709,4.731,5.97
328563364,3.999,4.978,4.099
328593903,5.317,5.409,6.315
328601956,5.759,5.768,6.574
328607225,5.929,6.045,6.486
328611004,4.518,4.586,5.792
328611467,5.722,5.842,6.264
328611654,5.508,5.725,5.91
328632707,5.392,5.828,5.654
328709642,6.356,6.638,6.591
328713871,6.163,6.309,6.603
328718126,5.858,6.329,6.002
328744210,6.604,6.685,7.157
328860895,4.679,4.719,5.768
328860948,4.659,4.669,5.963
328861072,4.582,4.553,5.801
328861126,4.515,4.511,5.686
328861282,4.098,4.064,5.652
328870472,4.824,4.863,5.895
328875073,4.662,4.721,5.736
328879562,4.648,4.722,5.96
328879764,4.945,5.047,5.829
328883562,4.49,4.508,5.739
328883690,4.767,4.784,5.912
328887932,4.544,4.546,5.985
328887977,5.205,5.202,6.222
328896613,5.25,5.252,6.185
328905011,4.667,4.719,5.75
328909029,4.42,4.487,5.66
328909309,4.259,4.992,4.542
328930845,5.514,5.585,6.416
328935472,5.683,5.925,6.151
328939480,5.594,5.778,6.055
328943204,5.895,6.068,6.464
328948348,5.586,5.729,5.979
328952123,5.246,5.497,5.723
328955898,4.996,5.578,5.059
328956505,5.096,5.147,6.114
329102850,6.521,6.693,7.09
329206270,3.585,3.598,5.46
329206392,4.176,4.21,5.868
329206628,4.546,4.533,5.861
329210713,3.767,3.76,5.527
329211098,3.717,3.712,5.48
329211374,4.675,4.711,5.772
329214990,4.337,4.421,5.646
329215304,4.761,4.748,6.05
329215923,3.552,3.545,5.608
329215976,3.807,3.818,5.596
329215996,4.717,4.697,5.87
329216050,3.265,3.258,5.412
329220439,3.563,3.633,5.554
329221260,5.143,5.145,6.233
329225149,4.607,4.658,5.553
329246255,4.892,4.923,5.734
329254286,4.934,4.983,6.139
329254539,4.295,4.314,5.615
329257947,5.025,5.072,6.124
329258532,3.365,3.396,5.438
329289084,6.061,6.117,6.751
329301513,4.833,4.961,5.545
329301762,5.453,5.605,5.933
329310230,6.041,6.337,6.407
329391878,6.205,6.313,6.771
329396647,5.969,6.086,6.413
329435390,4.28,4.262,5.754
329552035,4.846,4.898,5.873
329560716,4.476,4.59,5.171
329561513,4.698,4.72,5.687
329561615,3.465,3.498,5.385
329561679,4.469,4.545,5.557
329566174,5.337,5.446,6.297
329566187,4.681,4.72,5.91
329566197,4.376,4.431,5.776
329566335,5.061,5.122,5.714
329566467,3.52,3.533,5.44
329574917,5.09,5.144,6.056
