bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,presyn.glom,layer,ct.layer,axon.outputs,axon.inputs,total.length,cable.length.glom.um,axon.length,notes
1883783769,69,50,50,430,Traced,HRN_VP4_L,58408082,FALSE,B-contra,HRN_VP4,HRN_VP4,THRN,NA,VP4,55,1,1,430,50,209.0594524,89.69372703,209.0594524,
1883783906,145,129,129,921,Traced,HRN_VP4_R,118141562,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,121,1,1,916,126,447.7672255,202.5963434,447.7672255,
1883783945,156,145,145,874,Traced,HRN_VP4_R,115703196,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,140,1,1,875,145,328.4614464,133.3778161,328.4614464,
1884125111,79,63,63,501,Traced,HRN_VP4_L,64843223,FALSE,B-contra,HRN_VP4,HRN_VP4,THRN,NA,VP4,61,1,1,498,62,235.6916516,101.7377461,235.6916516,
1977208602,154,152,152,931,Traced,HRN_VP4_R,121312221,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,134,1,1,923,149,338.0094348,128.1089852,338.0094348,
1977545462,145,152,152,905,Traced,HRN_VP4_R,109877466,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,119,1,1,907,150,368.3498864,134.4140281,368.3498864,
1977545573,157,156,156,1041,Traced,HRN_VP4_R,106301269,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,132,1,1,1006,154,317.296821,123.3063682,317.296821,
1977553534,152,155,155,994,Traced,HRN_VP4_R,134045444,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,139,1,1,993,154,433.3544138,203.7408523,433.3544138,
1977890767,143,157,157,933,Traced,HRN_VP4_R,120881351,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,129,1,1,921,156,406.5445127,178.3433884,406.5445127,
2008239574,168,144,144,1114,Traced,HRN_VP4_R,116411148,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,122,1,1,1032,134,325.5387776,108.0816339,325.5387776,
2008579902,131,129,129,853,Traced,HRN_VP4_R,96482192,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,108,1,1,850,127,335.5181214,175.7823029,335.5181214,
2008920639,169,134,134,1047,Traced,HRN_VP4_R,105843562,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,153,1,1,1048,130,314.4570916,141.561417,314.4570916,
5812999623,138,145,145,804,Traced,HRN_VP4_R,100347588,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,116,1,1,802,145,320.3845242,117.2052521,320.3845242,
5812999627,169,140,140,1060,Traced,HRN_VP4_R,115652980,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,142,1,1,1039,137,340.8072562,159.8932919,340.8072562,
5813034409,146,159,159,949,Traced,HRN_VP4_R,112029904,FALSE,B-ipsi,HRN_VP4,HRN_VP4,THRN,NA,VP4,125,1,1,945,150,338.7924617,135.6789639,338.7924617,
5901202939,62,55,55,435,Traced,HRN_VP4_L,49039510,FALSE,B-contra,HRN_VP4,HRN_VP4,THRN,NA,VP4,40,1,1,429,53,176.7315006,43.62207824,176.7315006,
2131372466,190,163,163,1457,Traced,HRN_VP5_R,163478185,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,185,1,1,1457,163,235.6128157,209.3718421,235.6128157,
2131372546,182,164,164,1391,Traced,HRN_VP5_R,256903764,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,174,1,1,1391,164,286.7631153,179.9829709,286.7631153,
2131372734,200,187,187,1519,Traced,HRN_VP5_R,278656390,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,196,1,1,1522,185,305.1862647,184.0835847,305.1862647,
2131372750,205,188,188,1570,Traced,HRN_VP5_R,258445611,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,202,1,1,1570,187,285.7467399,201.72328,285.7467399,
2131377138,203,184,184,1547,Traced,HRN_VP5_R,163025205,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,196,1,1,1554,184,225.0136461,201.623578,225.0136461,
2131705304,187,191,191,1494,Traced,HRN_VP5_R,255126125,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,185,1,1,1490,190,296.7744383,196.5678906,296.7744383,
2131709474,204,168,168,1497,Traced,HRN_VP5_R,196550195,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,200,1,1,1498,168,261.979629,220.1131363,261.979629,
2131713897,200,204,204,1570,Traced,HRN_VP5_R,266240930,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,196,1,1,1572,203,274.4601843,187.0761023,274.4601843,
2162402915,194,174,174,1564,Traced,HRN_VP5_R,275118914,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,188,1,1,1566,174,317.3688901,161.9772196,317.3688901,
2162739943,203,176,176,1558,Traced,HRN_VP5_R,261420841,FALSE,U-ipsi,HRN_VP5,HRN_VP5,THRN,NA,VP5,192,1,1,1560,176,317.4300514,196.7765417,317.4300514,
1702318994,67,135,135,292,Orphan,ORN_D,74951895,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,292,135,272.9711157,NA,272.9711157,
1703363258,30,50,50,119,Traced,ORN_D_R,19464156,FALSE,B-ipsi,ORN_D,ORN_D,ORN,NA,D,NA,1,1,119,50,74.78606945,NA,74.78606945,
1703695886,25,33,33,124,Traced,ORN_D,13658487,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,124,33,48.89405966,NA,48.89405966,
1734402468,33,63,63,155,Traced,ORN_D,18890447,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,155,63,86.30056099,NA,86.30056099,
1574160090,233,409,409,1078,Traced,ORN_D,203302764,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1078,408,678.9741865,NA,678.9741865,
1574164579,209,374,374,964,Traced,ORN_D,205520576,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,960,373,629.1960206,NA,629.1960206,
1574501116,209,407,407,1021,Traced,ORN_D,220982634,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1020,407,741.6139634,NA,741.6139634,
1605194797,194,316,316,884,Traced,ORN_D,221613078,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,884,314,686.9871172,NA,686.9871172,
1605195203,226,345,345,1026,Traced,ORN_D,205245252,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1026,344,652.3984311,NA,652.3984311,
1605204164,243,465,465,1147,Traced,ORN_D,228948708,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1147,464,715.191933,NA,715.191933,
1605204239,185,316,316,831,Traced,ORN_D,193823049,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,831,316,635.5668191,NA,635.5668191,
1605864500,211,380,380,930,Traced,ORN_D,206869448,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,930,380,653.2611115,NA,653.2611115,
1636225559,224,442,442,1025,Traced,ORN_D,203101255,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1025,442,728.8831449,NA,728.8831449,
1636225589,231,424,424,1099,Traced,ORN_D,198170945,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1099,424,720.2371984,NA,720.2371984,
1636225661,164,292,292,756,Traced,ORN_D,167910572,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,756,291,541.4374749,NA,541.4374749,
1636238769,226,439,439,1076,Traced,ORN_D,233207495,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1076,438,743.8478383,NA,743.8478383,
1636240001,215,378,378,978,Traced,ORN_D,189211955,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,978,378,718.3832407,NA,718.3832407,
1636898862,216,359,359,1014,Traced,ORN_D,236442521,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1014,355,693.4731137,NA,693.4731137,
1639010352,234,453,453,1118,Traced,ORN_D,239960772,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1118,452,674.194932,NA,674.194932,
1639368236,231,380,380,1085,Traced,ORN_D,260945871,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1084,379,684.0952056,NA,684.0952056,
